,N,relative_error,absolute_error
0,1024,0.0009765625,1.718281828459045
1,2048,-0.00048828125,1.717305265959045
2,4096,-0.000244140625,1.717793547209045
3,8192,-0.0001220703125,1.718037687834045
4,16384,-6.103515625e-05,1.718159758146545
5,32768,-3.0517578125e-05,1.718220793302795
6,65536,-1.52587890625e-05,1.71825131088092
7,131072,-7.62939453125e-06,1.7182665696699826
8,262144,-3.814697265625e-06,1.7182741990645138
9,524288,-1.9073486328125e-06,1.7182780137617795
10,1048576,-9.5367431640625e-07,1.7182799211104123
