,N,relative_error,absolute_error
0,1024,0.0009770393371582031,1.718281828459045
1,2048,-0.0004886388778686523,1.7173047891218869
2,4096,-0.0002442300319671631,1.7177934279997555
3,8192,-0.00012209266424179077,1.7180376580317227
4,16384,-6.104074418544769e-05,1.7181597506959645
5,32768,-3.051897510886192e-05,1.71822079144015
6,65536,-1.525913830846548e-05,1.7182513104152588
7,131072,-7.62948184274137e-06,1.7182665695535673
8,262144,-3.8147190934978426e-06,1.71827419903541
9,524288,-1.9073540897807106e-06,1.7182780137545035
10,1048576,-9.536756806483027e-07,1.7182799211085933
