,N,relative_error,absolute_error
0,1024,0.0009770394924164538,1.718281828459045
1,2048,-0.0004886390137219809,1.7173047889666286
2,4096,-0.000244230048946692,1.7177934279803506
3,8192,-0.0001220926663640931,1.7180376580292973
4,16384,-6.104074445056895e-05,1.7181597506956614
5,32768,-3.0518975142168614e-05,1.718220791440112
6,65536,-1.5259138312462284e-05,1.7182513104152541
7,131072,-7.629481843407504e-06,1.7182665695535666
8,262144,-3.8147190934978426e-06,1.71827419903541
9,524288,-1.9073540897807106e-06,1.7182780137545035
10,1048576,-9.536756806483027e-07,1.7182799211085933
